,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_range,monthlycharges_range
0,Female,0,Yes,No,1,No,No,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85000038146973,2090.0805,No,1 - 12,21 - 40
1,Male,0,No,No,34,Yes,No,Yes,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95000076293945,10808090.05,No,25 - 36,41 - 60
2,Male,0,No,No,2,Yes,No,Yes,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.849998474121094,100080.0105,Yes,1 - 12,41 - 60
3,Male,0,No,No,45,No,No,Yes,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.29999923706055,10804000.0705,No,37 - 48,41 - 60
4,Female,0,No,No,2,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.69999694824219,105010.0604090909,Yes,1 - 12,61 - 80
5,Female,0,No,No,8,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.6500015258789,802000.05,Yes,1 - 12,101 - 120
6,Male,0,No,Yes,22,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.0999984741211,10904090.040000001,No,13 - 24,81 - 100
7,Female,0,No,No,10,No,No,Yes,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,300010.08090909093,No,1 - 12,21 - 40
8,Female,0,Yes,No,28,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8000030517578,30004060.0005,Yes,25 - 36,101 - 120
9,Male,0,No,Yes,62,Yes,No,Yes,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.1500015258789,30408070.09040909,No,61 - 72,41 - 60
10,Male,0,Yes,Yes,13,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95000076293945,508070.0405000001,No,13 - 24,41 - 60
11,Male,0,No,No,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.950000762939453,302060.0709090908,No,13 - 24,1 - 20
12,Male,0,Yes,No,58,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.3499984741211,50608010.01,No,49 - 60,101 - 120
13,Male,0,No,No,49,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.6999969482422,50003060.02090908,Yes,49 - 60,101 - 120
14,Male,0,No,No,25,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,20608060.0005,No,25 - 36,101 - 120
